Time (in days since 21 Mar),Ecliptic Latitude (in degrees),Ecliptic Longitude (in degrees)
1,38.467863186881985,135.27222724592872
4,38.467987372103075,135.27195193162396
7,38.4681044761624,135.27166383378534
10,38.468214187244726,135.2713637195365
13,38.46831621322021,135.27105238799754
16,38.46841028242232,135.270730668157
19,38.468496144371144,135.2703994166645
22,38.46857357044041,135.27005951554986
25,38.46864235446623,135.26971186987436
28,38.468702313296035,135.26935740532093
31,38.46875328727628,135.26899706572917
34,38.468795140677564,135.26863181058235
37,38.468827762056016,135.26826261245242
40,38.468851064550066,135.2678904544104
43,38.468864986111704,135.2675163274088
46,38.468869489671725,135.26714122764278
49,38.4688645632384,135.26676615389783
52,38.46885021992945,135.26639210489006
55,38.46882649793708,135.26602007660705
58,38.46879346042629,135.2656510596557
61,38.46875119536672,135.26528603662464
64,38.46869981529835,135.26492597946782
67,38.46863945703189,135.26457184691637
70,38.46857028128447,135.26422458192593
73,38.4684924722517,135.26388510916573
76,38.46840623711719,135.2635543325565
79,38.468311805500925,135.26323313286355
82,38.46820942884779,135.2629223653515
85,38.468099379758094,135.2626228575071
88,38.467981951261685,135.26233540683563
91,38.467857456037706,135.26206077873763
94,38.467726225582,135.26179970447066
97,38.46758860932445,135.26155287920224
100,38.46744497369855,135.26132096015883
103,38.467295701165654,135.26110456487572
214,38.461896979746626,135.2653503421748
217,38.46185627475516,135.2657161436224
220,38.46182481399393,135.26608576568992
223,38.461802681234126,135.26645822417754
226,38.46178993540907,135.26683252733278
229,38.46178661045733,135.26720767849142
232,38.46179271523231,135.2675826787311
235,38.46180823347871,135.26795652953146
238,38.4618331238758,135.26832823543268
241,38.46186732014743,135.26869680668622
244,38.46191073123852,135.2690612618903
247,38.46196324155752,135.26942063060295
250,38.46202471128418,135.2697739559261
253,38.46209497674187,135.27012029705355
256,38.46217385083338,135.27045873177607
259,38.46226112353915,135.27078835893693
262,38.46235656247644,135.2711083008315
265,38.46245991351814,135.27141770554428
268,38.46257090146943,135.27171574921732
271,38.46268923080052,135.27200163824398
274,38.46281458643362,135.27227461138196
277,38.46294663458185,135.27253394178038
280,38.46308502363803,135.27277893891517
283,38.463229385110935,135.27300895042768
286,38.463379334606465,135.27322336386183
289,38.463534472851194,135.27342160829474
292,38.4636943867555,135.27360315585716
295,38.46385865051352,135.27376752313887
298,38.46402682673696,135.27391427247588
301,38.464198467619724,135.2740430131159
304,38.4643731161303,135.27415340225872
307,38.4645503072287,135.27424514596905
310,38.46472956910474,135.2743179999591
313,38.46491042443436,135.27437177023916
316,38.46509239165054,135.27440631363402
319,38.46527498622566,135.27442153816435
322,38.46545772196158,135.2744174032915
325,38.46564011228431,135.27439392002546
328,38.4658216715396,135.27435115089557
331,38.466001916286096,135.27428920978406
334,38.466180366582606,135.27420826162268
337,38.46635654726606,135.2741085219537
340,38.46652998921673,135.27399025635586
343,38.466700230607366,135.2738537797373
346,38.46686681813291,135.27369945549694
349,38.46702930821751,135.27352769455692
352,38.46718726819569,135.27333895426844
355,38.46734027746432,135.27313373719394
358,38.467487928602665,135.2729125897689
361,38.46762982845716,135.27267610084687
364,38.46776559918831,135.2724249001315
